Participant,Gender,Leg,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,EMG1,EMG2,EMG3,EMG4,EMG5,EMG6,EMG7,EMG8,EMG9,EMG10,EMG11,EMG12,EMG13,EMG14,EMG15,EMG16,EMG17,EMG18,EMG19,EMG20,EMG21,EMG22,EMG23,EMG24,EMG25,EMG26,EMG27,EMG28,EMG29,EMG30,EMG31,EMG32,EMG33,EMG34,EMG35,EMG36,EMG37,EMG38,EMG39,EMG40,EMG41,EMG42,EMG43,EMG44,EMG45,EMG46,EMG47,EMG48,EMG49,EMG50,EMG51,EMG52,EMG53,EMG54,EMG55,EMG56,EMG57,EMG58,EMG59,EMG60,EMG61,EMG62,EMG63,EMG64
P01,Male,Right,0.445068359375,-1.821044921875,-0.288818359375,170.487804878049,23.4756097560976,-30.1829268292683,-22,56,90,55,54,40,196,196,11,-35,-63,-322,-58,-61,19,-27,27,241,71,60,36,67,-10,67,234,-46,204,-45,-71,78,-67,-129,80,196,-37,-191,-50,161,58,-116,-247,56,56,-84,174,56,-7,34,-6,-22,67,-2,16,86,-6,-6,34,-2,54,19,21,82,4,-12
P01,Male,Right,0.451416015625,-1.80126953125,-0.274658203125,169.085365853659,24.7560975609756,-29.5121951219512,4,77,126,88,73,64,234,220,36,-6,-33,-286,-33,-23,44,9,66,261,91,84,69,84,10,104,268,-12,256,5,-29,146,54,-109,107,259,62,-111,-44,257,116,-24,-261,113,87,4,276,57,-10,26,8,-3,83,14,26,95,2,6,60,-10,74,36,30,88,36,-1
P01,Male,Right,0.451416015625,-1.80126953125,-0.274658203125,167.987804878049,25.7317073170732,-29.0243902439024,-7,58,103,68,60,39,210,205,18,-22,-44,-299,-36,-37,15,3,31,233,82,47,48,56,-16,95,247,-20,242,1,-41,126,83,-146,85,248,83,-111,-87,244,103,-29,-268,72,88,37,265,32,-26,12,-16,-29,54,-12,8,76,-13,-13,26,-23,54,17,9,68,22,-28
P01,Male,Right,0.458984375,-1.78173828125,-0.25830078125,166.768292682927,26.7073170731707,-28.4756097560976,17,72,125,80,84,48,229,228,41,3,-25,-290,-18,-14,21,-4,33,249,93,58,54,52,3,113,268,-6,232,26,-22,128,116,-145,67,226,91,-107,-78,240,77,-69,-195,70,111,139,270,53,5,39,17,-13,67,8,22,90,6,-1,45,2,79,40,40,87,31,-4
P01,Male,Right,0.458984375,-1.78173828125,-0.25830078125,165.426829268293,27.8658536585366,-27.7439024390244,120,177,237,184,190,150,332,330,153,101,79,-171,88,90,130,95,145,364,192,171,158,143,104,216,377,107,318,146,48,240,230,-56,123,300,229,-17,13,316,149,-4,-46,155,208,295,326,154,106,139,113,91,168,119,131,202,99,95,149,100,188,141,136,189,138,101
P02,Male,Right,-0.72900390625,-0.943115234375,-0.68701171875,65.9756097560976,-32.0121951219512,35.3658536585366,-309,-204,-310,-245,-213,-443,-471,-386,-326,-689,-578,-281,-314,-848,-256,-267,-289,-237,-178,-246,-264,-303,-285,-241,-161,-281,-352,-364,-352,-423,-363,-243,-178,-326,-332,-396,-103,-97,-419,-359,-374,-91,-223,-172,-86,-269,-238,-248,-182,-292,-262,-248,-277,-182,-184,-224,-279,-262,-320,-255,-230,-283,-246,-250
P02,Male,Right,-0.71337890625,-0.9404296875,-0.688232421875,66.8292682926829,-33.9024390243902,35.3658536585366,-298,-208,-294,-235,-206,-451,-463,-374,-331,-695,-579,-260,-315,-870,-243,-262,-275,-229,-171,-234,-260,-285,-275,-249,-151,-291,-333,-351,-353,-382,-392,-235,-277,-279,-269,-351,-144,-113,-353,-328,-343,-105,-207,-172,-75,-278,-255,-265,-187,-294,-271,-250,-281,-180,-187,-227,-284,-270,-318,-263,-240,-291,-250,-264
P02,Male,Right,-0.71337890625,-0.9404296875,-0.688232421875,67.6829268292683,-35.7317073170732,35.3048780487805,-307,-224,-307,-246,-228,-456,-477,-377,-336,-717,-601,-274,-331,-900,-252,-269,-269,-234,-186,-231,-262,-278,-275,-259,-131,-288,-303,-331,-345,-340,-374,-237,-309,-232,-222,-322,-163,-137,-313,-307,-316,-118,-214,-158,-93,-273,-269,-262,-199,-311,-283,-263,-296,-196,-213,-242,-291,-274,-329,-286,-249,-309,-263,-282
P02,Male,Right,-0.69677734375,-0.936767578125,-0.6904296875,68.719512195122,-37.9268292682927,35.3048780487805,-334,-244,-334,-278,-258,-482,-500,-409,-365,-744,-630,-304,-355,-923,-276,-298,-283,-257,-221,-256,-285,-284,-283,-291,-146,-300,-296,-330,-331,-315,-352,-249,-296,-200,-199,-324,-163,-142,-288,-340,-296,-126,-275,-114,-115,-271,-273,-258,-218,-334,-294,-278,-303,-195,-227,-264,-305,-299,-344,-294,-272,-324,-282,-300
P02,Male,Right,-0.69677734375,-0.936767578125,-0.6904296875,69.4512195121951,-39.6951219512195,35.2439024390244,-326,-233,-326,-275,-246,-478,-494,-408,-371,-724,-632,-310,-361,-919,-273,-287,-288,-252,-219,-259,-281,-284,-281,-290,-126,-301,-278,-326,-319,-272,-323,-244,-240,-191,-178,-304,-140,-132,-253,-375,-275,-117,-353,-59,-130,-234,-245,-229,-196,-310,-271,-260,-273,-169,-209,-246,-286,-294,-314,-262,-259,-296,-278,-286
